abfscore,abtime,RNAlength,RNAfoldfscore,RNAfoldtime
0.888889,0,20,0.888889,0
0,0,20,0,0
0,0,20,0,0
0.857143,0,20,0.857143,0
0.857143,0,20,0.857143,0
1,0,20,1,0
0.666667,0,20,0.666667,0
0.888889,0,20,0.888889,0
1,0,20,1,0
0,0,20,0,0
0.941176,0,20,0.941176,0
0,0,20,0,0
0.714286,0,20,0.714286,0
0,0,21,0,0
0.941176,0,21,0.941176,0
0.857143,0,21,0.857143,0
1,0,21,1,0
0,0,22,0,0
0.823529,0,22,0.823529,0
0.947368,0,22,0.947368,0
0.875,0,22,0.875,0
0.8,0,22,0.8,0
0.947368,0,22,0.947368,0
0.941176,0,22,0.941176,0
0.947368,0,22,0.947368,0
1,0,22,1,0
1,0,22,1,0
0,0,22,0,0
1,0,22,1,0
1,0,22,1,0
0.947368,0,23,0.947368,0
1,0,23,1,0
0,0,23,0,0
1,0,23,1,0
0.888889,0,23,0.888889,0
0.875,0,23,0.875,0
1,0,23,1,0
0.947368,0,23,0.947368,0
0.947368,0,24,0.947368,0
0.909091,0,24,0.909091,0
0.888889,0,24,0.888889,0
1,1,24,1,0
0,0,24,0,0
0.857143,0,24,0.857143,0
0,0,24,0,0
0,0,24,0,0
0.842105,0,24,0.842105,0
0,0,24,0,0
0.5,0,24,0.5,0
0.909091,0,24,0.909091,0
0.909091,0,24,0.909091,0
0,0,24,0,0
0.857143,0,24,0.857143,0
0.909091,1,24,0.909091,0
0,0,25,0,0
0,0,25,0,0
0.947368,0,25,0.947368,0
0.615385,0,25,0.615385,0
0.823529,0,25,0.823529,0
0.909091,0,25,0.909091,0
0,0,26,0,0
0.818182,0,26,0.818182,0
0.75,0,26,0.75,0
1,0,26,1,0
0.869565,0,26,0.869565,0
0.916667,0,26,0.916667,0
0,0,26,0,0
0.909091,0,27,0.909091,0
0.888889,0,27,0.888889,0
0,0,27,0,0
0.75,0,27,0.75,0
0.952381,0,27,0.952381,0
0.956522,0,27,0.956522,0
0.956522,0,27,0.956522,0
0.736842,0,27,0.736842,0
0.909091,0,27,0.909091,0
0.956522,0,27,0.956522,0
0.952381,0,27,0.952381,0
0.5,0,27,0.5,0
0,0,28,0,0
1,0,28,1,0
0.923077,0,28,0.923077,0
0.875,0,28,0.875,0
1,0,28,1,0
0.869565,0,28,0.869565,0
0.875,0,28,0.875,0
0.952381,0,28,0.952381,0
1,0,28,1,0
0.923077,0,28,0.923077,0
0,0,29,0,0
0.952381,0,29,0.952381,0
0.869565,0,29,0.869565,0
0,0,29,0,0
0.823529,0,29,0.823529,0
0.9,0,29,0.9,0
0.818182,0,29,0.818182,0
0.962963,0,30,0.962963,0
0.818182,0,30,0.818182,0
0,0,30,0,0
0,0,30,0,0
0.909091,0,30,0.909091,0
1,0,30,1,0
0.888889,0,30,0.888889,0
0.8,0,30,0.8,0
1,0,30,1,0
0.888889,0,30,0.888889,0
0.869565,0,30,0.869565,0
0.833333,0,30,0.833333,0
1,0,31,1,0
1,0,31,1,0
0.869565,0,31,0.869565,0
0.947368,0,31,0.947368,0
0.666667,0,31,0.666667,0
0,0,32,0,0
0.769231,0,32,0.769231,0
0,0,32,0,0
0.761905,1,32,0.761905,0
0,0,32,0,0
0.88,0,32,0.88,0
0,0,32,0,0
0,1,32,0,0
0.909091,0,32,0.909091,0
0,0,33,0,0
1,0,33,1,0
0.857143,0,33,0.857143,0
1,0,33,1,0
0,0,34,0,0
0.888889,0,34,0.888889,0
0.962963,0,34,0.962963,0
0.962963,0,34,0.962963,0
0.909091,0,34,0.909091,0
0.962963,0,34,0.962963,0
1,0,34,1,0
0.8,0,35,0.8,0
0.928571,0,35,0.928571,0
1,0,35,1,0
0.818182,0,36,0.818182,0
0.941176,0,36,0.941176,0
0,0,36,0,0
0.933333,0,36,0.933333,0
0.888889,0,36,0.888889,0
0.814815,0,37,0.814815,0
0.888889,0,38,0.888889,0
0.866667,1,38,0.866667,0
1,0,38,1,0
0.962963,0,38,0.962963,0
0.96,0,39,0.96,0
0,0,40,0,0
0,0,40,0,0
0.307692,0,40,0.307692,0
0,0,40,0,0
0,0,40,0,0
0,0,40,0,0
0.933333,0,40,0.933333,0
0,0,40,0,0
0.971429,0,41,0.971429,0
0.26087,0,41,0.26087,0
0.8,0,41,0.8,0
0.296296,0,41,0.296296,0
0.944444,0,42,0.944444,0
0.923077,0,42,0.923077,0
0.75,0,42,0.75,0
0.714286,0,43,0.714286,0
0.642857,0,43,0.642857,0
0.896552,0,44,0.896552,0
0,0,44,0,0
0.866667,0,44,0.903226,0
0.75,0,44,0.75,0
0,0,44,0,0
0,0,44,0,0
0,0,44,0,0
0,0,44,0,0
0.914286,0,44,0.914286,0
0.947368,0,45,0.974359,0
0.909091,1,45,0.909091,0
0.864865,1,46,0.923077,0
0,0,46,0,0
0.926829,1,46,0.976744,0
0.842105,0,46,0.9,0
0.83871,0,47,0.83871,0
0,1,48,0,0
0,0,48,0,0
0,0,48,0,0
0,0,48,0,0
0,0,48,0.222222,0
0.482759,1,48,0.625,0
0,0,48,0,0
0,0,48,0,0
0.6,0,49,0.9375,0
0.904762,0,50,0.956522,0
0.470588,0,50,0.470588,0
0,0,51,0,0
1,0,52,1,0
0.24,1,55,0.272727,1
0.96,1,56,0.96,0
0.47619,1,56,0.47619,0
0.923077,0,56,0,0
0.96,1,56,0.96,0
0.923077,1,57,0.923077,0
0.625,0,57,0.842105,0
0.571429,0,58,0,0
1,1,60,1,0
0.625,1,60,0.625,0
0.636364,0,60,0.487805,0
0.651163,1,61,0.5,0
0.682927,1,61,0.682927,0
0.651163,1,61,0.5,0
0.682927,0,61,0.682927,0
0.666667,0,61,0.666667,0
0.1875,1,61,0.1875,0
0.651163,1,62,0.651163,0
0,1,63,0.628571,0
0.3125,1,64,0.529412,1
0,1,64,0,1
0.470588,1,65,0.368421,1
0,0,66,0.540541,0
0.90566,1,66,0,0
0.75,1,67,0.75,1
0.709677,1,67,0.947368,0
0.918919,2,68,0.918919,0
0.918919,2,68,0.918919,1
1,2,68,1,1
0.9,2,68,0.9,1
1,2,68,1,1
0.947368,2,68,0.947368,1
0.357143,3,69,0.357143,0
0.512821,2,69,0.512821,1
0.352941,2,70,0.352941,1
0.842105,2,70,0.842105,1
0.909091,3,71,0.909091,1
0.909091,3,71,0.909091,1
0.511628,3,71,0.511628,1
0.536585,2,72,0.536585,1
0.651163,2,72,0.651163,1
0,2,72,0,0
0.75,2,73,0.75,1
0.651163,3,73,0.651163,1
0.634146,2,73,0.634146,1
0.564103,3,73,0.564103,1
0,3,73,0,1
0.851064,2,74,0.851064,1
0.333333,3,74,0.333333,1
0.926829,2,74,0.926829,1
0.615385,2,74,0.615385,1
0.755556,3,74,0.755556,1
0.954545,2,75,0.954545,1
0,2,75,0,1
0.536585,2,75,0.536585,0
0.325581,4,75,0.325581,1
0.608696,2,75,0.608696,1
0.454545,3,75,0.454545,2
0.545455,2,75,0.545455,1
0.622222,3,76,0.622222,1
0.65,2,76,0.65,1
0.681818,3,76,0.681818,1
0.666667,3,76,0.666667,1
0.9,3,76,0.9,1
0.325581,2,76,0.325581,1
0.292683,4,76,0.292683,1
0.341463,2,77,0.341463,1
0.439024,2,78,0.439024,1
0.608696,2,79,0.608696,1
0.55,2,79,0.55,1
0,4,80,0.26087,1
0.680851,3,81,0.734694,1
0,3,82,0,1
0,5,84,0,2
0.971429,4,86,0.971429,2
0.892308,5,88,0,1
0,4,92,0,3
0.583333,3,92,0,2
0.130435,3,94,0.892857,2
0.888889,4,94,0.888889,2
0,3,96,0,3
0.588235,5,96,0,2
0.459016,5,97,0.892308,4
0.615385,5,98,0.615385,3
0.461538,6,98,0.461538,4
0.430769,5,101,0.84507,2
0.235294,6,120,0.230769,5
0,7,120,0.294118,5
0,8,136,0,8
0.531646,8,139,0.531646,6
0.26087,6,140,0.255319,5
0.682927,9,141,0.682927,8
0.682927,9,141,0.682927,8
0.682927,9,142,0.682927,17
0.539326,8,142,0.738095,8
0.705882,8,142,0.705882,9
0.666667,9,143,0.666667,8
0.438356,8,145,0.591549,9
0.54321,8,146,0.108108,10
0.574713,10,146,0,10
0.525,9,147,0.322581,9
0.759494,9,148,0.492308,10
0.333333,9,148,0.441176,10
0.933333,9,150,0.526316,10
0.764045,11,150,0.277778,11
0.758621,9,150,0.28169,10
0.54321,9,150,0.338983,11
0.45,9,150,0.45,10
0.917647,8,152,0.285714,10
0.719101,10,152,0,10
0.933333,8,152,0.526316,10
0.325581,9,152,0.473684,9
0,11,152,0,10
0.5,12,153,0.653061,9
0.571429,9,154,0.368421,11
0.963855,9,154,0.57971,8
0.574713,8,155,0.821053,8
0,9,156,0,9
0.73913,10,156,0,10
0.5,9,159,0.754717,9
0.455446,9,162,0.647619,9
0.206897,8,175,0.1,9
0.213333,12,176,0.45,14
0.643357,31,217,0.643357,19
0.325581,32,225,0.321429,22
0.152381,34,228,0.327273,21
0,41,248,0.110092,29
0.513158,41,266,0.556962,34
0.432836,44,267,0.414815,34
0.30137,53,272,0.251852,40
0.298701,45,298,0.517241,40
0.836735,54,314,0.658824,49
0.81592,54,315,0.760976,49
0.819048,54,316,0.645161,49
0.30303,64,380,0.27907,69
0.255924,67,408,0.252336,81
0.83045,401,968,0.707407,574
0.645276,416,968,0.652174,617
0.277087,562,1174,0.24911,994
0.494774,661,1466,0.491228,1515
0.501134,681,1505,0.593819,1700
0.467626,686,1511,0.507638,1634
0.493243,688,1513,0.512878,1668
0.476415,686,1514,0.564278,1675
0.470588,694,1521,0.506881,1662
0.492554,695,1522,0.513053,1807
0.495982,695,1522,0.515393,1658
0.477299,695,1522,0.515254,1672
0.480198,686,1526,0.468401,1665
0.507795,696,1527,0.518847,1667
0.494961,696,1528,0.586319,1674
0.5,697,1529,0.519509,1682
0.384528,710,1530,0.441731,1696
0.515625,686,1533,0.493827,1676
0.512766,754,1660,0.59815,2112
0.5,765,1667,0.602083,2182
0.475162,768,1673,0.567876,2107
0.472373,770,1673,0.548488,2097
0.512067,769,1685,0.459601,2121
0.464668,776,1687,0.547917,2113
0.479339,770,1688,0.544554,2119
0.511967,780,1694,0.589928,2153
0.325186,810,1716,0.34375,2243
0.520661,835,1793,0.599803,2577
0.383164,2692,2738,0.392241,7023
0.440367,2723,2765,0.353868,6952
0.435024,2717,2765,0.351351,6934
0.419718,2720,2766,0.351254,6951
0.417135,2734,2770,0.347639,6993
0.327246,2713,2774,0.418015,7489
0.542476,2729,2828,0.547863,7332
0.539683,2862,2848,0.466931,7669
0.571936,2773,2875,0.572941,7697
0.539645,2784,2876,0.526506,7777
0.571598,2781,2876,0.571596,7722
0.551396,2787,2876,0.528097,7620
0.571598,2780,2876,0.572941,7574
0.571766,2852,2878,0.551967,7596
0.56974,2819,2879,0.525253,7592
0.573634,2854,2879,0.530221,7564
0.571936,2880,2880,0.52801,7610
0.57109,2837,2881,0.551237,7582
0.57126,2899,2882,0.52801,7598
0.571768,2839,2882,0.527877,7586
0.57109,2830,2882,0.526627,7589
0.45614,2942,2884,0.373461,7705
0.571936,3035,2885,0.526875,7603
0.580986,2905,2888,0.525816,7658
0.588863,2927,2891,0.546988,7736
0.617035,2931,2904,0.575969,7919
0.567234,2882,2916,0.567442,7821
0.542986,2944,2937,0.518905,8022
0.441099,2924,2943,0.406085,8074
0.377907,3057,2943,0.337455,8070
0.512397,2982,2958,0.54023,8326
0.552978,2968,2995,0.575155,8439
0.523615,3032,3009,0.562997,8557
0.532762,3083,3012,0.55569,8605
0.525114,3099,3032,0.545556,8843
