WAS,WASs,TDS,TDSs,BUS,BUSs,SS,SSs,RNASize,RNAfold,WAS300,TDS300
0.888889,20,0.888889,20,0.888889,20,0.888889,20,20,0.888889,0.854167,0.854167
0,5,0,5,0,5,0,5,20,0,0.824121,0.81592
0,5,0,5,0,5,0,5,20,0,0.826923,0.792453
0.857143,20,0.857143,20,0.545455,10,0.857143,20,20,0.857143,0.689655,0.689655
0.857143,18,0.857143,18,0.666667,12,0.857143,18,20,0.857143,0.495327,0.530233
1,20,1,20,0.666667,12,1,20,20,1,0.83045,0.83045
0.666667,20,0.666667,20,0,5,0.666667,20,20,0.666667,0.683849,0.673874
0.888889,20,0.888889,20,0.888889,20,0.888889,20,20,0.888889,0.39726,0.359511
1,19,1,19,1,19,1,19,20,1,0.562712,0.58458
0,5,0,5,0,5,0,5,20,0,0.605005,0.608791
0.941176,20,0.941176,20,0.941176,20,0.941176,20,20,0.941176,0.561565,0.563743
0,5,0,5,0,5,0,5,20,0,0.600868,0.587196
0.714286,19,0.714286,19,0.714286,19,0.714286,19,20,0.714286,0.601117,0.583808
0,5,0,5,0,5,0,5,21,0,0.58,0.578888
0.941176,21,0.941176,21,0.363636,8,0.941176,21,21,0.941176,0.582781,0.563474
0.857143,21,0.857143,21,0.857143,21,0.857143,21,21,0.857143,0.59292,0.595556
1,21,1,21,0.444444,10,1,21,21,1,0.59081,0.582307
0,5,0,5,0,5,0,5,22,0,0.565728,0.539952
0.823529,22,0.823529,22,0.461538,10,0.823529,22,22,0.823529,0.610932,0.60455
0.947368,22,0.947368,22,0.947368,22,0.947368,22,22,0.947368,0.619149,0.599784
0.875,22,0.875,22,0.363636,8,0.875,22,22,0.875,0.601293,0.598253
0.8,22,0.8,22,0,5,0.8,22,22,0.8,0.500544,0.502242
0.947368,22,0.947368,22,0.333333,8,0.947368,22,22,0.947368,0.593849,0.566486
0.941176,22,0.941176,22,0.714286,14,0.941176,22,22,0.941176,0.588355,0.610656
0.947368,22,0.947368,22,0.947368,22,0.947368,22,22,0.947368,0.623218,0.622177
1,21,1,21,1,21,1,21,22,1,0.57438,0.580042
1,13,1,13,1,13,1,13,22,1,0.561587,0.561587
0,5,0,5,0,5,0,5,22,0,0.630738,0.615854
1,22,1,22,0,5,1,22,22,1,0.565262,0.567595
1,22,1,22,0,5,1,22,22,1,0.511488,0.532663
